date,Y
2013-01-01,-1664.274145
2013-01-02,-1797.404781
2013-01-03,-2108.942905
2013-01-04,-2611.186919
2013-01-05,-3025.791912
2013-01-06,-2766.806459
2013-01-07,-2867.266893
2013-01-08,-3411.732710
2013-01-09,-3704.738567
2013-01-10,-3790.300231
2013-01-11,-4503.620588
2013-01-12,-4315.393866
2013-01-13,-5273.372259
2013-01-14,-5382.993823
2013-01-15,-5747.112350
2013-01-16,-6112.549400
2013-01-17,-6638.500419
2013-01-18,-6563.082471
2013-01-19,-6382.737061
2013-01-20,-6961.297253
2013-01-21,-6970.864453
2013-01-22,-7262.193679
2013-01-23,-6999.687695
2013-01-24,-7267.859491
2013-01-25,-6980.638612
2013-01-26,-7279.232241
2013-01-27,-7171.874128
2013-01-28,-7617.845942
2013-01-29,-7089.129827
2013-01-30,-7779.377575
2013-01-31,-7411.671899
2013-02-01,-8516.557023
2013-02-02,-8558.817158
2013-02-03,-8915.355597
2013-02-04,-8828.106163
2013-02-05,-8621.672803
2013-02-06,-8390.780658
2013-02-07,-8545.124165
2013-02-08,-8154.560896
2013-02-09,-8189.857108
2013-02-10,-8266.088564
2013-02-11,-8347.124883
2013-02-12,-8514.263794
2013-02-13,-8151.586832
2013-02-14,-8305.673756
2013-02-15,-7907.708089
2013-02-16,-7817.955824
2013-02-17,-7146.494177
2013-02-18,-6911.611096
2013-02-19,-6455.396580
2013-02-20,-6029.852399
2013-02-21,-6082.834077
2013-02-22,-5903.251712
2013-02-23,-5473.168483
2013-02-24,-5449.173590
2013-02-25,-5426.592549
2013-02-26,-5776.587924
2013-02-27,-5297.301075
2013-02-28,-5650.826541
2013-03-01,-5275.976935
2013-03-02,-4926.658836
2013-03-03,-4835.701447
2013-03-04,-4661.140031
2013-03-05,-4122.197879
2013-03-06,-3942.490618
2013-03-07,-3808.973230
2013-03-08,-3468.521748
2013-03-09,-3626.327642
2013-03-10,-3252.354254
2013-03-11,-3382.464838
2013-03-12,-3248.642842
2013-03-13,-3328.306930
2013-03-14,-3460.139720
2013-03-15,-3613.441394
2013-03-16,-3614.818260
2013-03-17,-3837.396521
2013-03-18,-3756.387072
2013-03-19,-3664.464910
2013-03-20,-3676.911283
2013-03-21,-4159.400171

2013-03-23,259.405951
2013-03-24,1606.866422
2013-03-25,1278.833246
2013-03-26,-261.939712
2013-03-27,1208.169192
2013-03-28,851.582733
2013-03-29,-1609.886918
2013-03-30,348.293878
2013-03-31,1380.683923
